COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
cis-Aconitate,HMDB00072,C00417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suberic Acid,HMDB00893,C08278,673821,593298,248397,273199,338136,429714,426752,304827,408753,623761,261595,256630,450013,294433,319940,333960,279358,292093,259709,414840,414564,422104,220298,307179,246595,261831,238842,355342,305749,241861,265583,260397,188907,211908,321470,286952,293427,250212,345117,244169,235496,187217,344440,197768,208217,250881,253341,306831,350072,333535,322317,335043,316445,329260
Indole-3-Acetic Acid,HMDB00197,C00954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citrulline,HMDB00904,C00327,171032,169179,97482,97434,135624,102149,197839,118794,159066,361286,83189,83288,129664,125109,85127,129050,312998,82808,172410,265267,175263,184474,122079,150323,62512,116113,90428,184786,102646,113173,83596,68038,91361,47504,102350,80722,144623,117106,98269,110292,125178,150088,141553,65134,88911,156525,138396,170025,113359,157901,151925,185779,208662,324918
N-Acetyl-Aspartate (NAA),HMDB00812,C01042,2537177,1577468,1687477,2106125,3006519,3772637,3567413,1946840,2235728,3107801,2118125,1791865,1593644,2240178,1895708,3285740,1858512,2091601,2148885,2297210,2119051,611254,2086752,2308558,502005,1532752,1649530,4182181,1311608,1582770,3040115,331196,1878738,295374,1464509,1998557,3041702,2495068,2302841,1907899,1856286,2250092,1240314,1766021,1618029,1324567,1839177,1198023,1833402,1343428,1097746,737554,2814291,2333234
Ascorbic Acid (Vit. C),HMDB00044,C00072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-isoPropylmalic Acid,HMDB00402,C02504,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-isoPropylmalic Acid,HMDB12156,C04411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Formylmethionine,HMDB01015,C03145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hippuric Acid,HMDB00714,C01586,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inositol,HMDB00211,C00137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucose,HMDB00122,C00031,16577781,12358257,5560317,9072506,14040623,5805775,20380810,3887509,10642951,8134491,8062185,2942019,8932550,3351752,3620124,7910565,6186597,2164937,10728871,9960793,8634011,2533370,13106068,11820607,1727047,14868602,2123820,3635370,11507998,4095273,6800513,555483,8439666,1343238,24056005,9074653,27087804,15292899,13249639,16067735,8226522,17686585,6315232,7738483,8056385,7467818,13961529,55573574,8457480,11417777,7476651,5081413,23236645,15758422
Mannose,HMDB00169,C00159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fructose,HMDB00660,C00095,868852,934148,706170,1860035,1063132,325078,2670550,325286,683122,767743,863264,305165,1548984,1097244,489406,1117910,1005112,319840,1395861,1027980,853312,342719,1101562,576059,214699,1605020,407774,205816,1257711,535328,325499,110215,812817,222732,1766514,1097699,1392881,1024295,979904,1059913,1105621,3218890,660714,1045083,1029896,628170,790487,3898694,824023,1604292,668984,620690,1787824,1173409
OH-Phenylpyruvate,HMDB00707,C01179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theophylline,HMDB01889,C07130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sorbitol,HMDB00247,C00794,396288,260060,238966,1308550,144656,265419,1131850,110582,257060,341429,196305,68297,675862,556041,247621,733127,600853,121796,564539,611989,556107,53602,341511,398195,42072,181661,117932,170258,708246,196673,126808,33819,296409,104731,289960,497609,306978,355004,438698,247525,556485,164355,154498,159403,325715,85767,306010,934456,292783,575623,128465,121984,233925,319761
Homovanilate,HMDB00118,C05582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mannitol,HMDB00765,C00392,15904,10846,293614,45632,6676,6245,12935,9331,10664,24124,9165,5648,17285,16661,30024,10762,37765,70279,15184,14048,30649,7009,9336,39293,82930,14923,6736,33893,30918,89695,9774,3013,6286,4886,16983,11802,15779,72499,14475,13890,8901,30964,7960,14743,11859,7016,67266,75360,9627,14684,5450,2088420,32152,15698
4-Pyridoxic Acid,HMDB00017,C00847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoserine,HMDB00272,C01005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2/3-Phosphoglyceric Acid,HMDB0000362,C00197/C00597,266878,59367,213734,395150,219679,300167,382299,169889,383854,162161,322445,61475,212716,77727,187437,184934,228519,62088,490107,721245,321840,28489,177041,152851,28894,39156,90961,163249,151743,241423,178195,37241,431976,41315,114110,155273,260841,159856,414817,205969,157720,237002,108055,125454,238508,141622,106423,375462,277095,121552,154650,55369,189557,390728
Azelaic Acid,HMDB00784,C08261,1232207,946278,457243,484939,689527,725552,686692,530918,779347,909952,533356,461628,563084,722627,574611,774722,495668,574440,734382,640505,876600,733454,487826,591742,484026,573536,427271,706601,570215,506821,512115,455335,313661,426174,726269,478401,701351,438167,342540,473154,423340,438231,559454,411804,266711,406022,470341,751762,654127,426176,502087,674370,678364,486336
N-Ac-L-Glutamine,HMDB06029,N/A,82669,12129,29490,63819,173527,99103,66584,50399,60468,35074,47881,19062,32100,17075,28311,66275,56348,11326,62047,41094,34775,6799,27827,40588,5324,20416,30130,81777,41973,10808,56194,3984,19464,2955,19036,38102,71537,26913,59558,36115,32456,39657,18946,26535,18379,50501,13630,49872,14948,14434,23886,10668,28125,26686
Kynurenic Acid,HMDB0000715,C01717,4394458,1486615,3185997,3527965,3657307,3833360,5926032,3631554,1581598,2064791,4408063,1529994,3501921,2201136,3637557,5289328,3675684,2344827,6990420,6806835,6406768,1572157,3991008,1713536,1288646,1858424,2063379,3413286,2955005,2757222,3914257,1676607,3558926,1789411,2147460,3982554,4348413,2578455,4276309,2307077,3625330,2814190,2600244,3817894,4385863,3487456,2513015,4108412,4351942,2708713,2227522,2216285,3128720,3950200
N-Ac-Glutamate,HMDB01138,C00624,298135,171600,146319,228916,254716,238943,334697,156904,208595,232269,214635,259880,168456,234904,159383,305381,210973,268821,267275,222674,201826,103207,203099,231550,117608,196618,178342,301833,186759,175412,271452,72617,171113,69132,204510,218514,277165,236147,232214,202127,202920,272389,171479,188096,164519,144447,163644,259258,186266,179522,131825,146413,384594,308096
Indole-3-Propionate,HMDB02302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Hydroxyl-Indole-3-Acetic Acid,HMDB00763,C05635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Methionine,HMDB11745,C02712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citric Acid,HMDB00094,C00158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucoronate,HMDB00127,C00191,237504,56223,156714,220117,107823,131145,176024,104458,141643,102222,87676,85878,222196,108593,126772,173096,166377,99839,133638,119220,195355,28139,183522,181474,23807,40282,67910,89266,196536,58268,74402,18735,100712,25754,54564,117220,80892,87691,203122,82922,112631,65874,73173,68310,70026,59876,76824,104687,109290,97392,60629,61559,116903,167691
4-Hydroxy-3-Nitrophenylacetate,HMDB62403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanilmandelic Acid,HMDB00291,C05584,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythrose-4-Phosphate,HMDB01321,C00279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteine-S-Sulfate,HMDB00731,C05824,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IndolePyruvate,HMDB60484,C00331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic Acid,HMDB00881,C02470,2778510,612650,915760,535157,1413755,811717,4389873,621493,432619,1478283,2234205,358362,1077703,257411,656995,3112306,318372,213936,2019709,2553070,2896375,234440,735629,989367,202514,184265,642334,613767,558235,910114,704047,202822,985921,191253,237484,1953853,844100,1629902,1963385,333999,1509351,845141,1074098,1815304,2385488,907008,1217624,393025,1971245,487420,675306,456754,615158,743330
Indole-3-Lactate,HMDB00671,C02043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Phenylalanine,HMDB00512,C03519,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indoxyl Sulfate,HMDB00682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pantothenate,HMDB00210,C00864,1412886,502013,958218,4048216,2438725,1770049,1488234,1421749,2214889,1137337,2656251,737103,662955,677037,793407,1223436,4546944,413611,1050367,1826415,1036008,102820,917200,2119668,82811,616127,1002443,1348843,2751578,537202,1312528,144423,858871,98211,362001,865632,1430766,941921,1505684,1319187,584772,1498633,342790,2114091,1344115,1138466,731994,2212235,469112,707037,492629,309365,1432503,1272362
Cystathionine,HMDB00099,C02291,653224,183095,672512,940303,540554,801936,1244734,524605,624086,604415,794325,131962,654678,375407,845749,1215232,854698,114690,1737399,1159165,1355405,127710,627175,972988,75162,142683,328748,716791,554090,338426,475529,48819,613300,43214,274430,514734,590137,492312,552104,349949,444116,317641,554493,417327,478543,219921,308655,561325,692619,264143,404430,207662,245030,286263
N-Ac-Tyrosine,HMDB00866,C01657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Myristic Acid,HMDB0000806,C06424,249829,47684,185053,288635,130362,149485,221582,97675,182106,170706,204774,86486,156285,173854,227747,238952,269054,67713,298666,252436,313289,24228,114410,254768,29838,32980,78708,119140,111621,85837,60060,18425,111830,7579,57653,106711,55618,122766,194616,128388,105275,101346,106415,113158,104935,74329,71615,77413,142810,87931,70903,69200,93211,104203
Ribose-5-P,HMDB01548,C00117,3595875,1253210,1788359,3751492,2118803,3065826,3357420,1540875,3447718,2922416,1792981,747464,2233473,1029494,2080429,2337762,2222747,838618,2619484,2029426,3797742,324685,2343287,4842635,213095,510129,1395520,2635861,3028974,2055791,2502348,190263,3243371,189195,1510979,2113982,2738446,3516150,6229608,2945650,1823744,1405645,2147193,1428219,1544566,1337351,1575328,3075702,2804533,1274981,967633,708139,1917739,3166024
Ribulose 5-Phosphate,HMDB00618,C00199,804958,91512,306023,732283,322960,673518,406549,349007,471349,388379,349744,107970,430602,195261,607088,388281,701748,199993,663640,507131,624860,40446,323686,496776,24394,59183,207083,291776,173561,236347,214340,30945,212143,37083,130724,152416,208916,135882,244694,145298,107464,152203,76449,94796,127078,102126,98528,153372,223101,100153,68121,35071,214361,266530
Melatonin,HMDB01389,C01598,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tetrahydrobiopterin,HMDB00027,C00272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thymidine,HMDB00273,C00214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pseudouridine,HMDB00767,C02067,401739,153487,488290,418729,265355,362905,389962,171579,517197,342794,447679,187836,575673,257320,697374,382956,409376,217298,663521,523815,638168,47155,310284,661722,50665,128467,381959,310610,314605,240672,210311,71386,393016,79551,205688,240270,276795,351446,424906,359446,216381,179067,414564,323506,363618,180992,305735,313893,425928,233790,204860,186247,266567,488426
Biotin,HMDB00030,C00120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Tryptophan,HMDB13713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyridoxal-5-P,HMDB01491,C00018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Palmitic Acid,HMDB0000220,C00249,115079,101168,117928,138277,103940,122542,102485,100235,126481,136024,109556,97046,93029,104480,90079,113385,142455,108941,126130,135359,139645,113821,96024,153954,92199,76803,91492,137280,103721,100695,95700,86970,94840,95591,94263,95259,119357,105555,105868,105444,113791,85981,114548,111633,96213,120813,96855,97249,103490,104926,83980,89392,115605,107229
5-Methyluridine,HMDB00884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Hydroxymethyl-2'-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine-6-Phosphate,HMDB0001254,C00352,225568,37170,71057,196712,68934,258675,74141,59502,167500,107311,159289,32676,93318,46196,146892,70725,167318,39477,238598,290257,187937,17835,89941,149731,16491,12700,32391,134847,84477,56218,127331,6408,68099,4292,42844,24114,89755,87301,175315,80975,26913,60951,117107,81826,114858,31259,100189,85779,154716,45516,66909,29394,56329,120523
G6P,HMDB0001401,C00092,19765044,1780340,14922409,27848283,14355672,20905776,17957970,13126590,25623987,9241846,23981778,3756861,13883423,6648143,19564292,15384870,28330195,5490452,34876030,38374785,22605834,2322262,13820030,11826660,1231588,3945394,8511382,22920168,10629154,10780791,12763227,1125793,16595315,868138,5353834,7649299,13089155,3336083,13587468,11352338,6477289,7799960,6513164,7923042,9903967,5528743,2906453,13818096,13285584,4248304,4884892,1759556,9388410,12236321
G1P/F1P/F6P,HMDB01586/HMDB01076/HMDB00124,C01094/C00085/C00103,5473223,548507,3868253,7000361,3659371,5355364,4102447,2955896,5881275,2407644,6093670,1011278,3454333,1770457,4998621,3887372,7347818,1466772,8473153,8801481,6257446,620593,3679431,3413610,388443,1024455,2199894,5721798,2946963,2929065,3623680,315723,4468682,261189,1567682,2033482,3679325,1079825,4171364,3459107,1740993,1989315,1874061,2161191,2724047,1536276,886559,3646781,3580349,1104117,1354794,500868,2188991,3076396
Phenylacetylglutamine,HMDB06344,C04148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOPEG Sulfate,HMDB00559,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
